Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_104,VGND,li1,53.5900,59.8400,0.000007
FILLER_17_101,VGND,li1,52.6700,59.8400,0.000007
FILLER_17_98,VGND,li1,51.2900,59.8400,0.000007
FILLER_17_95,VGND,li1,49.9100,59.8400,0.000007
FILLER_17_85,VGND,li1,45.3100,59.8400,0.000007
FILLER_17_83,VGND,li1,43.9300,59.8400,0.000007
FILLER_17_77,VGND,li1,41.6300,59.8400,0.000007
FILLER_17_72,VGND,li1,38.8700,59.8400,0.000007
FILLER_17_69,VGND,li1,37.9500,59.8400,0.000007
FILLER_17_66,VGND,li1,36.5700,59.8400,0.000007
FILLER_17_63,VGND,li1,35.1900,59.8400,0.000006
FILLER_17_57,VGND,li1,32.2000,59.8400,0.000006
FILLER_17_55,VGND,li1,31.0500,59.8400,0.000006
FILLER_17_51,VGND,li1,29.2100,59.8400,0.000005
FILLER_17_48,VGND,li1,28.2900,59.8400,0.000005
FILLER_17_29,VGND,li1,19.0900,59.8400,0.000005
FILLER_17_23,VGND,li1,16.3300,59.8400,0.000005
FILLER_17_16,VGND,li1,13.1100,59.8400,0.000005
FILLER_17_9,VGND,li1,9.8900,59.8400,0.000005
FILLER_17_6,VGND,li1,8.9700,59.8400,0.000005
FILLER_17_3,VGND,li1,7.5900,59.8400,0.000005
FILLER_16_104,VGND,li1,53.5900,54.4000,0.000012
FILLER_16_54,VGND,li1,30.8200,54.4000,0.000007
FILLER_16_51,VGND,li1,29.6700,54.4000,0.000007
FILLER_16_48,VGND,li1,28.2900,54.4000,0.000006
FILLER_16_25,VGND,li1,17.7100,54.4000,0.000006
FILLER_16_3,VGND,li1,7.5900,54.4000,0.000007
FILLER_15_97,VGND,li1,50.3700,54.4000,0.000012
FILLER_15_88,VGND,li1,46.2300,54.4000,0.000011
FILLER_15_85,VGND,li1,45.3100,54.4000,0.000011
FILLER_15_57,VGND,li1,32.2000,54.4000,0.000008
FILLER_15_29,VGND,li1,19.3200,54.4000,0.000006
FILLER_15_26,VGND,li1,18.1700,54.4000,0.000006
FILLER_15_23,VGND,li1,16.7900,54.4000,0.000006
FILLER_15_12,VGND,li1,11.5000,54.4000,0.000007
FILLER_15_3,VGND,li1,7.3600,54.4000,0.000007
FILLER_14_91,VGND,li1,48.0700,48.9600,0.000008
FILLER_14_88,VGND,li1,46.6900,48.9600,0.000008
FILLER_14_85,VGND,li1,45.3100,48.9600,0.000007
FILLER_14_81,VGND,li1,43.4700,48.9600,0.000007
FILLER_14_78,VGND,li1,42.0900,48.9600,0.000007
FILLER_14_75,VGND,li1,40.7100,48.9600,0.000007
FILLER_14_72,VGND,li1,39.3300,48.9600,0.000006
FILLER_14_56,VGND,li1,31.5100,48.9600,0.000005
FILLER_14_53,VGND,li1,30.5900,48.9600,0.000005
FILLER_14_50,VGND,li1,29.2100,48.9600,0.000005
FILLER_14_32,VGND,li1,20.7000,48.9600,0.000004
FILLER_14_29,VGND,li1,19.5500,48.9600,0.000004
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000004
FILLER_14_24,VGND,li1,17.2500,48.9600,0.000004
FILLER_14_21,VGND,li1,15.8700,48.9600,0.000004
FILLER_14_18,VGND,li1,14.4900,48.9600,0.000004
FILLER_14_15,VGND,li1,13.1100,48.9600,0.000004
FILLER_14_9,VGND,li1,9.8900,48.9600,0.000004
FILLER_14_6,VGND,li1,8.9700,48.9600,0.000004
FILLER_14_3,VGND,li1,7.5900,48.9600,0.000004
FILLER_13_88,VGND,li1,46.6900,48.9600,0.000008
FILLER_13_85,VGND,li1,45.3100,48.9600,0.000007
FILLER_13_82,VGND,li1,43.9300,48.9600,0.000007
FILLER_13_79,VGND,li1,42.5500,48.9600,0.000007
FILLER_13_76,VGND,li1,41.1700,48.9600,0.000007
FILLER_13_66,VGND,li1,36.5700,48.9600,0.000006
FILLER_13_63,VGND,li1,35.1900,48.9600,0.000006
FILLER_13_60,VGND,li1,33.8100,48.9600,0.000006
FILLER_13_57,VGND,li1,32.4300,48.9600,0.000005
FILLER_13_54,VGND,li1,30.8200,48.9600,0.000005
FILLER_13_27,VGND,li1,18.4000,48.9600,0.000004
FILLER_13_24,VGND,li1,17.2500,48.9600,0.000004
FILLER_13_6,VGND,li1,8.9700,48.9600,0.000004
FILLER_13_3,VGND,li1,7.5900,48.9600,0.000004
FILLER_12_103,VGND,li1,53.3600,43.5200,0.000013
FILLER_12_85,VGND,li1,45.0800,43.5200,0.000012
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000012
FILLER_12_69,VGND,li1,37.4900,43.5200,0.000010
FILLER_12_66,VGND,li1,36.5700,43.5200,0.000010
FILLER_12_63,VGND,li1,35.1900,43.5200,0.000010
FILLER_12_59,VGND,li1,32.8900,43.5200,0.000009
FILLER_12_56,VGND,li1,31.9700,43.5200,0.000008
FILLER_12_53,VGND,li1,30.5900,43.5200,0.000008
FILLER_12_50,VGND,li1,29.2100,43.5200,0.000007
FILLER_12_47,VGND,li1,27.8300,43.5200,0.000007
FILLER_12_44,VGND,li1,26.4500,43.5200,0.000007
FILLER_12_41,VGND,li1,25.0700,43.5200,0.000006
FILLER_12_38,VGND,li1,23.6900,43.5200,0.000006
FILLER_12_35,VGND,li1,22.3100,43.5200,0.000006
FILLER_12_32,VGND,li1,20.9300,43.5200,0.000007
FILLER_12_29,VGND,li1,19.5500,43.5200,0.000007
FILLER_12_25,VGND,li1,17.7100,43.5200,0.000007
FILLER_12_22,VGND,li1,16.3300,43.5200,0.000008
FILLER_12_3,VGND,li1,7.5900,43.5200,0.000009
FILLER_11_84,VGND,li1,44.6200,43.5200,0.000012
FILLER_11_81,VGND,li1,43.4700,43.5200,0.000012
FILLER_11_71,VGND,li1,38.6400,43.5200,0.000010
FILLER_11_68,VGND,li1,37.4900,43.5200,0.000010
FILLER_11_57,VGND,li1,32.4300,43.5200,0.000009
FILLER_11_46,VGND,li1,27.1400,43.5200,0.000007
FILLER_11_43,VGND,li1,25.9900,43.5200,0.000007
FILLER_11_31,VGND,li1,20.2400,43.5200,0.000007
FILLER_11_28,VGND,li1,19.0900,43.5200,0.000007
FILLER_11_15,VGND,li1,13.1100,43.5200,0.000008
FILLER_11_12,VGND,li1,11.7300,43.5200,0.000008
FILLER_10_91,VGND,li1,47.6100,38.0800,0.000008
FILLER_10_88,VGND,li1,46.6900,38.0800,0.000008
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000007
FILLER_10_69,VGND,li1,37.7200,38.0800,0.000006
FILLER_10_66,VGND,li1,36.5700,38.0800,0.000006
FILLER_10_63,VGND,li1,35.1900,38.0800,0.000006
FILLER_10_60,VGND,li1,33.8100,38.0800,0.000006
FILLER_10_44,VGND,li1,26.4500,38.0800,0.000004
FILLER_10_41,VGND,li1,25.0700,38.0800,0.000004
FILLER_10_38,VGND,li1,23.6900,38.0800,0.000005
FILLER_10_35,VGND,li1,22.3100,38.0800,0.000005
FILLER_10_32,VGND,li1,20.9300,38.0800,0.000005
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000005
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000005
FILLER_10_11,VGND,li1,11.0400,38.0800,0.000007
FILLER_9_97,VGND,li1,50.6000,38.0800,0.000008
FILLER_9_74,VGND,li1,39.7900,38.0800,0.000006
FILLER_9_71,VGND,li1,38.8700,38.0800,0.000006
FILLER_9_68,VGND,li1,37.4900,38.0800,0.000006
FILLER_9_65,VGND,li1,36.1100,38.0800,0.000006
FILLER_9_48,VGND,li1,27.8300,38.0800,0.000005
FILLER_9_30,VGND,li1,20.0100,38.0800,0.000005
FILLER_9_27,VGND,li1,18.6300,38.0800,0.000005
FILLER_9_3,VGND,li1,7.3600,38.0800,0.000007
FILLER_8_103,VGND,li1,53.3600,32.6400,0.000007
FILLER_8_100,VGND,li1,52.2100,32.6400,0.000007
FILLER_8_97,VGND,li1,50.8300,32.6400,0.000007
FILLER_8_81,VGND,li1,43.4700,32.6400,0.000007
FILLER_8_78,VGND,li1,42.0900,32.6400,0.000007
FILLER_8_75,VGND,li1,40.7100,32.6400,0.000007
FILLER_8_72,VGND,li1,39.3300,32.6400,0.000006
FILLER_8_69,VGND,li1,37.9500,32.6400,0.000006
FILLER_8_66,VGND,li1,36.5700,32.6400,0.000006
FILLER_8_63,VGND,li1,35.1900,32.6400,0.000006
FILLER_8_60,VGND,li1,33.8100,32.6400,0.000006
FILLER_8_52,VGND,li1,29.6700,32.6400,0.000005
FILLER_8_49,VGND,li1,28.7500,32.6400,0.000005
FILLER_8_36,VGND,li1,22.3100,32.6400,0.000005
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000006
FILLER_8_24,VGND,li1,17.2500,32.6400,0.000006
FILLER_8_21,VGND,li1,15.8700,32.6400,0.000007
FILLER_8_18,VGND,li1,14.4900,32.6400,0.000007
FILLER_8_15,VGND,li1,13.1100,32.6400,0.000007
FILLER_7_102,VGND,li1,53.1300,32.6400,0.000007
FILLER_7_70,VGND,li1,38.4100,32.6400,0.000006
FILLER_7_67,VGND,li1,37.0300,32.6400,0.000006
FILLER_7_57,VGND,li1,32.2000,32.6400,0.000006
FILLER_7_46,VGND,li1,27.1400,32.6400,0.000005
FILLER_7_35,VGND,li1,22.3100,32.6400,0.000005
FILLER_7_32,VGND,li1,20.9300,32.6400,0.000006
FILLER_7_29,VGND,li1,19.5500,32.6400,0.000006
FILLER_7_26,VGND,li1,18.1700,32.6400,0.000006
FILLER_7_20,VGND,li1,15.4100,32.6400,0.000007
FILLER_7_12,VGND,li1,11.2700,32.6400,0.000008
FILLER_6_92,VGND,li1,48.3000,27.2000,0.000006
FILLER_6_82,VGND,li1,43.7000,27.2000,0.000006
FILLER_6_79,VGND,li1,42.5500,27.2000,0.000006
FILLER_6_76,VGND,li1,41.1700,27.2000,0.000006
FILLER_6_73,VGND,li1,39.7900,27.2000,0.000006
FILLER_6_65,VGND,li1,35.6500,27.2000,0.000005
FILLER_6_55,VGND,li1,31.2800,27.2000,0.000005
FILLER_6_52,VGND,li1,30.1300,27.2000,0.000004
FILLER_6_49,VGND,li1,28.7500,27.2000,0.000004
FILLER_6_46,VGND,li1,27.3700,27.2000,0.000004
FILLER_6_43,VGND,li1,25.9900,27.2000,0.000003
FILLER_6_37,VGND,li1,23.0000,27.2000,0.000004
FILLER_6_34,VGND,li1,21.8500,27.2000,0.000004
FILLER_6_9,VGND,li1,10.3500,27.2000,0.000004
FILLER_6_6,VGND,li1,8.9700,27.2000,0.000004
FILLER_5_96,VGND,li1,50.1400,27.2000,0.000007
FILLER_5_77,VGND,li1,41.4000,27.2000,0.000006
FILLER_5_74,VGND,li1,40.2500,27.2000,0.000006
FILLER_5_71,VGND,li1,38.8700,27.2000,0.000005
FILLER_5_68,VGND,li1,37.4900,27.2000,0.000005
FILLER_5_65,VGND,li1,36.1100,27.2000,0.000005
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000004
FILLER_5_50,VGND,li1,29.2100,27.2000,0.000004
FILLER_5_34,VGND,li1,21.6200,27.2000,0.000004
FILLER_5_31,VGND,li1,20.4700,27.2000,0.000004
FILLER_5_28,VGND,li1,19.0900,27.2000,0.000004
FILLER_5_15,VGND,li1,13.1100,27.2000,0.000004
FILLER_5_12,VGND,li1,11.7300,27.2000,0.000004
FILLER_5_9,VGND,li1,10.3500,27.2000,0.000004
FILLER_5_6,VGND,li1,8.9700,27.2000,0.000004
FILLER_4_93,VGND,li1,48.5300,21.7600,0.000008
FILLER_4_82,VGND,li1,43.7000,21.7600,0.000008
FILLER_4_74,VGND,li1,39.7900,21.7600,0.000007
FILLER_4_71,VGND,li1,38.8700,21.7600,0.000007
FILLER_4_68,VGND,li1,37.4900,21.7600,0.000007
FILLER_4_52,VGND,li1,29.6700,21.7600,0.000005
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000004
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000004
FILLER_4_24,VGND,li1,17.2500,21.7600,0.000004
FILLER_4_21,VGND,li1,15.8700,21.7600,0.000004
FILLER_4_18,VGND,li1,14.4900,21.7600,0.000004
FILLER_4_15,VGND,li1,13.1100,21.7600,0.000004
FILLER_4_12,VGND,li1,11.7300,21.7600,0.000004
FILLER_4_9,VGND,li1,10.3500,21.7600,0.000004
FILLER_4_6,VGND,li1,8.9700,21.7600,0.000004
FILLER_4_3,VGND,li1,7.5900,21.7600,0.000004
FILLER_3_100,VGND,li1,51.9800,21.7600,0.000008
FILLER_3_92,VGND,li1,48.5300,21.7600,0.000008
FILLER_3_75,VGND,li1,40.2500,21.7600,0.000007
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000006
FILLER_3_45,VGND,li1,26.9100,21.7600,0.000004
FILLER_3_30,VGND,li1,19.5500,21.7600,0.000004
FILLER_3_27,VGND,li1,18.6300,21.7600,0.000004
FILLER_3_24,VGND,li1,17.2500,21.7600,0.000004
FILLER_3_21,VGND,li1,15.8700,21.7600,0.000004
FILLER_3_18,VGND,li1,14.4900,21.7600,0.000004
FILLER_3_15,VGND,li1,13.1100,21.7600,0.000004
FILLER_3_12,VGND,li1,11.7300,21.7600,0.000004
FILLER_3_9,VGND,li1,10.3500,21.7600,0.000004
FILLER_3_6,VGND,li1,8.9700,21.7600,0.000004
FILLER_3_3,VGND,li1,7.5900,21.7600,0.000004
FILLER_2_100,VGND,li1,51.7500,16.3200,0.000005
FILLER_2_97,VGND,li1,50.8300,16.3200,0.000005
FILLER_2_94,VGND,li1,49.4500,16.3200,0.000005
FILLER_2_91,VGND,li1,48.0700,16.3200,0.000005
FILLER_2_88,VGND,li1,46.6900,16.3200,0.000005
FILLER_2_85,VGND,li1,45.3100,16.3200,0.000005
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000005
FILLER_2_74,VGND,li1,39.7900,16.3200,0.000005
FILLER_2_71,VGND,li1,38.8700,16.3200,0.000005
FILLER_2_58,VGND,li1,32.4300,16.3200,0.000004
FILLER_2_49,VGND,li1,28.7500,16.3200,0.000004
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000004
FILLER_2_24,VGND,li1,17.2500,16.3200,0.000004
FILLER_2_21,VGND,li1,15.8700,16.3200,0.000004
FILLER_2_18,VGND,li1,14.4900,16.3200,0.000004
FILLER_2_15,VGND,li1,13.1100,16.3200,0.000004
FILLER_2_12,VGND,li1,11.7300,16.3200,0.000004
FILLER_2_9,VGND,li1,10.3500,16.3200,0.000004
FILLER_2_6,VGND,li1,8.9700,16.3200,0.000004
FILLER_2_3,VGND,li1,7.5900,16.3200,0.000004
FILLER_1_103,VGND,li1,53.3600,16.3200,0.000005
FILLER_1_100,VGND,li1,52.2100,16.3200,0.000005
FILLER_1_97,VGND,li1,50.8300,16.3200,0.000005
FILLER_1_94,VGND,li1,49.4500,16.3200,0.000005
FILLER_1_91,VGND,li1,48.0700,16.3200,0.000005
FILLER_1_88,VGND,li1,46.6900,16.3200,0.000005
FILLER_1_85,VGND,li1,45.3100,16.3200,0.000005
FILLER_1_82,VGND,li1,43.9300,16.3200,0.000005
FILLER_1_79,VGND,li1,42.5500,16.3200,0.000005
FILLER_1_76,VGND,li1,41.1700,16.3200,0.000005
FILLER_1_73,VGND,li1,39.7900,16.3200,0.000005
FILLER_1_70,VGND,li1,38.4100,16.3200,0.000005
FILLER_1_67,VGND,li1,37.0300,16.3200,0.000005
FILLER_1_64,VGND,li1,35.6500,16.3200,0.000004
FILLER_1_61,VGND,li1,34.2700,16.3200,0.000004
FILLER_1_41,VGND,li1,25.0700,16.3200,0.000003
FILLER_1_30,VGND,li1,20.0100,16.3200,0.000004
FILLER_1_27,VGND,li1,18.6300,16.3200,0.000004
FILLER_1_24,VGND,li1,17.2500,16.3200,0.000004
FILLER_1_21,VGND,li1,15.8700,16.3200,0.000004
FILLER_1_18,VGND,li1,14.4900,16.3200,0.000004
FILLER_1_15,VGND,li1,13.1100,16.3200,0.000004
FILLER_1_12,VGND,li1,11.7300,16.3200,0.000004
FILLER_1_9,VGND,li1,10.3500,16.3200,0.000004
FILLER_1_6,VGND,li1,8.9700,16.3200,0.000004
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000004
FILLER_0_103,VGND,li1,53.3600,10.8800,0.000000
